location,lat,lon,avgMaxTemp,avgRainfall,avgHumidity
Adelaide,-34.92,138.6,22.9,1.57,44.83
Albany,-35.02,117.88,20.07,2.26,67.41
Albury,-36.08,146.92,22.64,1.91,47.87
AliceSprings,-23.7,133.88,29.25,0.88,24.13
BadgerysCreek,-33.88,150.73,24.03,2.19,51.38
Ballarat,-37.56,143.85,18.29,1.74,59.03
Bendigo,-36.76,144.28,21.62,1.62,46.47
Brisbane,-27.47,153.02,26.45,3.14,53.91
Cairns,-16.92,145.77,29.56,5.74,61.75
Canberra,-35.28,149.13,20.98,1.74,45.83
Cobar,-31.5,145.83,25.87,1.13,33.87
CoffsHarbour,-30.3,153.12,23.97,5.06,62.35
Dartmoor,-37.92,141.27,19.7,2.15,62.46
Darwin,-12.46,130.84,32.54,5.09,51.83
GoldCoast,-28.0,153.43,25.77,3.77,62.98
Hobart,-42.88,147.33,17.87,1.6,52.94
Katherine,-14.47,132.27,34.94,3.2,42.76
Launceston,-41.43,147.14,18.95,2.01,57.32
Melbourne,-37.81,144.96,20.77,1.87,51.18
MelbourneAirport,-37.67,144.83,20.49,1.45,51.17
Mildura,-34.18,142.16,24.84,0.95,35.4
Moree,-29.47,149.85,26.95,1.63,35.81
MountGambier,-37.83,140.78,19.83,2.09,57.33
MountGinini,-35.53,148.77,11.66,3.29,69.72
Newcastle,-32.93,151.78,24.1,3.18,57.36
Nhil,-36.33,141.65,22.41,0.93,44.92
NorahHead,-33.28,151.57,22.59,3.39,67.52
NorfolkIsland,-29.03,167.95,21.83,3.13,67.84
Nuriootpa,-34.47,138.99,21.7,1.39,45.43
PearceRAAF,-31.67,116.02,26.05,1.67,42.08
Penrith,-33.75,150.69,24.76,2.18,49.1
Perth,-31.95,115.86,25.03,1.91,46.91
PerthAirport,-31.94,115.97,25.53,1.76,41.92
Portland,-38.34,141.6,18.06,2.53,65.99
Richmond,-33.6,150.75,24.46,2.14,49.0
Sale,-38.11,147.07,20.28,1.51,56.35
SalmonGums,-32.98,121.63,24.25,1.03,40.75
Sydney,-33.87,151.21,23.0,3.32,54.69
SydneyAirport,-33.94,151.18,23.38,3.01,53.9
Townsville,-19.26,146.82,29.37,3.49,57.4
Tuggeranong,-35.42,149.09,20.77,2.16,47.19
Uluru,-25.35,131.04,30.38,0.78,24.13
WaggaWagga,-35.12,147.37,23.03,1.71,42.59
Walpole,-34.98,116.73,20.46,2.91,66.32
Watsonia,-37.71,145.08,20.9,1.86,54.71
Williamtown,-32.8,151.84,24.0,3.59,53.94
Witchcliffe,-34.02,115.1,21.69,2.9,57.78
Wollongong,-34.42,150.89,21.47,3.59,65.13
Woomera,-31.16,136.81,26.6,0.49,28.4
